0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 
0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> c_last_name,c_first_name,c_salutation,c_preferred_cust_flag,ss_ticket_number,cnt
Crowe,Clifford,Mr.,Y,322632569,5
Farrell,Ronald,Dr.,N,1916038779,5
Shannon,Roy,Mr.,Y,956336567,5
Jackson,John,Dr.,N,974782172,5
Jeffrey,Fritz,Mr.,N,763854687,5
King,Tasha,Ms.,Y,1192819594,5
Fernandez,Angie,Mrs.,Y,937355796,5
Miller,Sean,Mr.,Y,1785295770,5
Smith,James,Sir,N,833581826,5
Whitcomb,Sherry,Ms.,Y,1069962901,5
,,Miss,,8585563,5
Rau,Linda,Ms.,N,1389238696,5
,Gordon,,Y,2141281003,5
Grant,Justin,Sir,Y,1265693228,5
Nielsen,Christopher,Mr.,N,1503431690,5
Gomez,Lorenza,Ms.,Y,89067180,5
Heyward,Christopher,Sir,N,868864809,5
Campbell,Cora,Dr.,N,157706042,5
Paradis,Melinda,Dr.,Y,858645282,5
Marshall,Matthew,Sir,Y,1475773644,5
Furman,Donna,Ms.,N,250164383,5
Raley,Trisha,Miss,N,559642969,5
Devlin,Rebecca,Dr.,Y,730935285,5
Paul,Victor,Mr.,Y,90881772,5
Vu,Trula,Miss,N,1940070759,5
Holmes,Zachary,Sir,N,1810714853,5
Mckinney,Michael,Sir,Y,127316324,5
Downs,Martha,Mrs.,Y,2058020711,5
Forest,Rose,Ms.,N,124045006,5
Miller,John,Dr.,Y,521859524,5
Donaldson,Felicia,Ms.,N,2081569083,5
Simpson,Rogelio,Dr.,N,1860955560,5
Smith,Derrick,Dr.,N,1576482834,5
Walters,Michael,Dr.,N,1024050404,5
Brooks,Elmira,Ms.,Y,1356552042,5
Manning,John,Mr.,Y,412164799,5
Eggleston,Gerald,Mr.,Y,2029575958,5
Cooper,William,Sir,N,982758527,5
Farmer,Sandra,Mrs.,N,194046577,5
Warren,George,Sir,N,785980612,5
Johnson,Angelia,Dr.,N,1476760942,5
Walker,Kirk,Mr.,N,416527831,5
Scarbrough,Ralph,Sir,N,2013305925,5
Newsome,Elizabeth,Dr.,N,945237338,5
Mason,Leon,Mr.,Y,1089313229,5
Shaw,Lorenzo,Dr.,Y,1838593553,5
Barnes,Michael,Sir,N,446103137,5
Jennings,Ernestine,Miss,Y,1781423554,5
Taylor,,Dr.,N,646109001,5
Garcia,Lydia,Ms.,Y,279058206,5
Metzger,Stacie,Ms.,N,1994361656,5
Rosado,Rafael,Dr.,Y,289688049,5
Allen,William,Sir,Y,204003752,5
Ali,Richard,Mr.,N,763438144,5
Baxter,Charles,Sir,N,769850711,5
Hill,Brandon,Sir,N,1311301567,5
Cherry,Robert,Mr.,Y,216693168,5
Hicks,Stan,Mr.,N,1185536182,5
Nelson,Carrie,Mrs.,N,2093275684,5
Mills,Jennifer,Miss,Y,2047430945,5
Cook,Edgar,Sir,Y,1537595140,5
Miller,Michael,Mr.,Y,1490991229,5
Floyd,Doris,Ms.,N,40581256,5
Lawson,Etta,Dr.,N,2121017666,5
Tharp,James,Sir,N,405292512,5
Pitts,Joy,Dr.,Y,1237527446,5
Dunn,Warren,Mr.,Y,1320783906,5
Klein,Roy,Sir,N,113719308,5
Jones,Darcy,Dr.,N,1152593936,5
,Keith,Mr.,,490483818,5
Blanchard,John,Sir,Y,100188886,5
Price,Gary,Dr.,Y,319132912,5
Pickard,Charles,,Y,733734059,5
Lawrence,Paula,Mrs.,Y,2074050622,5
Graham,Edna,Mrs.,Y,1727356240,5
Moore,Frederick,Dr.,Y,1932284767,5
,,Sir,N,1343131535,5
,,Ms.,N,1674914076,5
Pederson,Emma,Ms.,Y,1032658561,5
Gutierrez,Christopher,Sir,Y,1734276073,5
Morrison,Meredith,Mrs.,Y,835362256,5
Mendoza,Dolores,Mrs.,N,2008723901,5
Jefferson,Lazaro,Mr.,Y,1534751447,5
Ferrell,Richard,Sir,Y,512009229,5
Hudgins,Sandra,Miss,Y,1426179960,5
Gordon,Heather,Mrs.,N,296966469,5
Chestnut,Harold,Dr.,Y,1745966397,5
Avila,Kathleen,Mrs.,N,1893989957,5
Hammer,Lori,Ms.,Y,1057978849,5
Daniel,Manuel,Mr.,Y,2081645652,5
Walker,Bertram,Dr.,N,427996178,5
Thompson,Jill,Miss,N,360665104,5
Bailey,Monica,Mrs.,Y,2058294661,5
Kaufman,Nancy,Dr.,N,383774798,5
Callender,Alva,Ms.,N,948733221,5
Hunt,Douglass,Sir,Y,190438895,5
Wong,Deborah,Miss,N,495520716,5
Wilson,Robert,Dr.,Y,415197272,5
Mcneal,Carlos,Sir,Y,1966880601,5
Jones,Richard,Sir,N,1227367331,5
Mcrae,Paula,Mrs.,Y,917827179,5
Darnell,Buck,Sir,N,248236562,5
Wilson,Wayne,Dr.,N,1487816171,5
Leak,Donna,Miss,Y,2049683259,5
Walker,Vern,Dr.,Y,1459268976,5
Polk,Thomas,Dr.,N,422709188,5
Brown,Ethan,Mr.,N,1928044598,5
Clark,Karen,Miss,N,1255169237,5
Yu,Kimberly,,N,1864532413,5
Sloan,May,Miss,N,51465191,5
Boyd,Eric,Sir,N,57948655,5
,Joshua,Sir,,1109251653,5
Brown,,,,1292499595,5
,,Sir,N,1657373744,5
Knowles,Chester,Mr.,N,368555049,5
Carter,Ethel,Dr.,N,660435338,5
Wagner,Ralph,Sir,N,1483007800,5
Long,Michael,Dr.,Y,1806063111,5
Lloyd,Teri,Mrs.,N,2023269299,5
Alvarado,John,Sir,Y,1119973766,5
Everson,Karen,Ms.,Y,657236845,5
Brown,Vernon,Dr.,N,60241693,5
Smith,Joel,Sir,N,506189488,5
Garrett,Savannah,Mrs.,N,538814176,5
Finney,Brian,Mr.,Y,463313339,5
Wiggins,Esther,Ms.,Y,1817517195,5
Hawk,Wendy,Miss,N,38864523,5
Melendez,Marilyn,Ms.,Y,1558902971,5
Johnson,Lynda,Miss,Y,1193577103,5
Collins,Steve,Dr.,Y,502155000,5
Newton,Charles,Sir,Y,1327816693,5
Lucero,Tommy,Sir,Y,913564063,5
Boone,Dorothy,Dr.,Y,1872911905,5
Smith,Lucille,Ms.,N,872846978,5
Tillman,Kelsey,Miss,Y,171444643,5
Johnson,Carrie,Miss,N,1348174746,5
Grady,Vicki,Dr.,N,110393191,5
Cook,Claudia,Mrs.,Y,295450616,5
Gomez,Karen,Ms.,N,473288665,5
,,,N,1002453982,5
Vasquez,Ginger,Miss,Y,1228664644,5
Myers,Terri,Mrs.,N,2144552117,5
Bauer,Joseph,Dr.,N,88102845,5
Klein,Victoria,Mrs.,N,1343500184,5
Hall,Nestor,Sir,N,821098449,5
Diaz,Jennie,Dr.,Y,1961074746,5
Parra,Aretha,Ms.,N,619587798,5
Sullivan,Bradley,Dr.,N,819360055,5
Pulliam,Randy,Dr.,N,144662216,5
Maddox,Adam,Mrs.,N,215858688,5
Pfeiffer,David,Mr.,N,883303449,5
Randall,Dora,Ms.,N,381130240,5
Martin,Virginia,Miss,N,1823136280,5
Odell,Susan,Mrs.,Y,81598257,5
Garcia,Elizabeth,Miss,Y,1998957473,5
Nowell,Kristine,Mrs.,Y,1879425098,5
Beam,Jesse,Dr.,Y,163627110,5
Hopkins,Katy,Miss,Y,2064640532,5
Roberts,Edward,Mr.,N,1521072710,5
Rodgers,Robert,Dr.,N,828540247,5
Bentley,Leona,Dr.,N,276399346,5
Gleason,Rita,Miss,Y,1493228413,5
Milner,Todd,Mr.,Y,1023357441,5
Muniz,Anthony,Ms.,N,1164132696,5
Campbell,Jack,Dr.,N,76739680,5
Shaw,Michael,Mr.,N,535629483,5
Lee,Jeremy,,,483720832,5
Milton,Beverley,Dr.,Y,942272563,5
Vue,Linda,Mrs.,N,1303757156,5
Carlisle,Susan,Dr.,Y,831138331,5
Taylor,Leota,Ms.,N,1105606709,5
Swain,David,Mr.,Y,1106200655,5
Wallace,Timothy,Dr.,Y,371323826,5
Dotson,Adam,Mrs.,,844088731,5
Foster,Wally,Mr.,Y,1275878736,5
Robertson,Steven,Dr.,N,1017551208,5
Rosario,Tommy,Mr.,N,1015061629,5
Sanchez,Bennie,Dr.,Y,1983762716,5
Perales,Craig,Mr.,N,1247716927,5
Murphy,Dawn,Miss,N,61209224,5
Hawk,Jeffrey,Dr.,N,2007910782,5
Hamilton,Hazel,Mrs.,Y,184278843,5
Simon,Elise,Miss,N,2129443079,5
Dukes,Daniel,Sir,Y,1921756131,5
Taylor,Luz,Mrs.,N,2075957462,5
Kelly,Sean,Mr.,Y,154441401,5
Watt,Rosa,Dr.,N,1573685443,5
Wolf,Judy,Miss,Y,1593351868,5
Crandall,Richard,Dr.,Y,921224404,5
Vickery,Larry,Mr.,Y,2119243870,5
Kelsey,James,Dr.,N,1959435922,5
Ricker,Laurel,Miss,Y,56967432,5
Downs,Helen,Ms.,Y,927743742,5
Nolen,Michelle,Miss,N,2120381664,5
Rich,Cynthia,Dr.,N,1704868634,5
Stevenson,Karen,Mrs.,N,417442402,5
Myers,Ella,Mrs.,Y,694173785,5
,,Mrs.,N,386221404,5
Dougherty,Norma,Ms.,N,815607289,5
Dawkins,Scott,Dr.,Y,2100661660,5
Odell,Audrey,Ms.,N,1246980371,5
Owens,Margarita,Ms.,N,203716142,5
Lomax,Richard,,N,1886272967,5
Washburn,Rickie,Sir,N,1343631248,5
Cave,Charles,Mr.,N,1333941025,5
Jones,William,Mr.,Y,1891076425,5
Anderson,Mike,Sir,N,744484052,5
Dumas,Karen,Miss,Y,1111370310,5
Lockwood,Ryan,Mr.,N,583104733,5
Smith,William,Mr.,N,532687989,5
,Kimberly,Ms.,Y,405258583,5
Lawson,Donald,Sir,Y,1811754448,5
Whitney,Leonard,Dr.,N,205679084,5
Duncan,Ruby,Dr.,N,1532470632,5
Pina,Beverly,Miss,N,2099639631,5
Arias,Irene,Dr.,Y,2081455762,5
Brown,Denise,Dr.,Y,1619021431,5
Lennon,Robin,Dr.,Y,707964254,5
Baugh,Ella,Miss,Y,421101912,5
Haines,David,Mr.,Y,1167252442,5
Thompson,Ronald,Dr.,Y,398166230,5
Conley,Robert,Sir,Y,1889840257,5
Perez,Sharon,Miss,Y,2106788303,5
Stephens,Michele,Mrs.,N,1596021135,5
Wilson,Joseph,Sir,Y,1262433411,5
Butterfield,Charlotte,Mrs.,N,1174273491,5
Ratliff,Thomas,Mr.,Y,1046101484,5
Jacobsen,Philip,Sir,Y,465543060,5
Johnson,Beatrice,Ms.,Y,373385119,5
Fitzgerald,,,,838493700,5
Moreno,Desire,Miss,N,1466891107,5
Mata,Marian,Mrs.,Y,1443445506,5
Westbrook,Delores,Ms.,Y,1869548787,5
Lombardi,Alberta,Mrs.,Y,372087277,5
Phillips,Kevin,Dr.,Y,253924049,5
Ring,William,Mr.,N,42781056,5
Sandoval,Edward,Sir,Y,614633207,5
Reyes,Patrick,Sir,N,975708099,5
Hamlin,Theodore,Mr.,Y,2130281545,5
,Daniel,Sir,N,532071884,5
Palma,Agnes,Miss,Y,629832297,5
Brown,William,Sir,Y,1370733065,5
Rivera,Doris,Dr.,Y,833995015,5
Hunt,Jose,Mr.,N,161093258,5
Smith,Marlon,Dr.,Y,560748335,5
Miller,Gertrude,Dr.,Y,1622625176,5
Mcconnell,Jon,Dr.,Y,1228333708,5
Alston,Justina,Dr.,Y,1528873833,5
Johnson,Pasty,Dr.,N,6295156,5
Mitchell,Lamar,Dr.,Y,1154909124,5
Willis,Rachel,Mrs.,Y,537753518,5
Davidson,Thomas,Sir,Y,1793362142,5
Klein,Donald,Dr.,N,267146617,5
Crutchfield,Jenifer,Ms.,N,493875086,5
Stauffer,Phil,Sir,N,295808566,5
,Angela,Miss,,1590292295,5
Phillips,Jesus,Mr.,Y,179559142,5
Hughes,Errol,Sir,Y,632645396,5
Mallory,Carole,Dr.,N,62035984,5
Frank,Timothy,Dr.,N,1739466612,5
Holland,Robert,Dr.,N,1666350942,5
Nelson,Donnie,Sir,Y,1693422248,5
Hood,Jeffrey,Dr.,Y,154390016,5
Hawthorne,Vera,Miss,N,980648445,5
Wentworth,Nancy,Ms.,N,1244418789,5
Anderson,Terry,Mr.,N,1242012478,5
Vaughn,Julie,Ms.,N,222924130,5
Archer,Ashley,Mrs.,N,592377218,5
Harvey,Liliana,Mrs.,Y,1472697939,5
Dudley,Roy,Sir,N,1519846885,5
Stevens,Richard,Dr.,N,517254592,5
Menard,Jesse,Dr.,N,8700583,5
Correia,Joseph,Sir,N,1249007826,5
Dupree,Elizabeth,Mrs.,Y,1320325532,5
Harris,Jim,Sir,Y,793009332,5
Smith,Charles,Mr.,N,1895410,5
Caldwell,John,Sir,,1616927251,5
Randall,Sandra,Miss,Y,1974419357,5
Smith,Geoffrey,Mr.,Y,505045481,5
Wynn,Jonathan,Sir,Y,1150740274,5
Ligon,Timothy,Sir,Y,1629201598,5
Carroll,,Ms.,Y,1566854681,5
Smith,Margaret,Dr.,Y,1522302688,5
Hernandez,Harry,Dr.,N,1017921415,5
Mallory,Doyle,Mr.,N,267740628,5
Baker,Keith,Mr.,N,732075072,5
Green,Erica,Dr.,Y,796294262,5
Ford,Anna,Mrs.,N,179384534,5
Smith,George,Dr.,Y,603883339,5
Williams,Ronald,Dr.,Y,658509713,5
Nicholson,John,Sir,Y,1267892319,5
Jacobs,Darron,Sir,Y,873325294,5
Hicks,Sheryl,Dr.,N,288142436,5
Flores,Georgia,Miss,Y,1676741737,5
Banks,Zella,Mrs.,N,1838453997,5
Deboer,David,Sir,N,962121686,5
Emery,Ed,Dr.,N,993166850,5
Robinson,Tony,Dr.,Y,216130680,5
Wilkes,Debbra,Miss,N,671047781,5
,,Mrs.,N,883023809,5
Mcpherson,Caroline,Ms.,N,532742058,5
Velazquez,Raymond,Mr.,N,254480009,5
Caballero,Jaime,Mr.,Y,1542199836,5
York,Arthur,Dr.,Y,380802092,5
Russell,Linda,Miss,N,1492637707,5
Humphrey,John,Sir,Y,545438203,5
Hiatt,Kenneth,Sir,N,392874034,5
,Denis,,N,1310731099,5
Brown,Maurice,Sir,N,2112439805,5
Rodriguez,Malcolm,Sir,Y,1209515661,5
Smith,Valerie,Dr.,Y,642155097,5
Gibson,Ray,Dr.,Y,485871435,5
Pittman,Reginald,Dr.,Y,478895456,5
Rasmussen,Elizabeth,Dr.,Y,1435165507,5
Barton,Adrian,Mrs.,Y,1789123212,5
Keeler,Anitra,Mrs.,Y,2014283087,5
Strong,Lisa,,Y,1785028456,5
Werner,Joshua,Dr.,N,1343863807,5
Noland,Robert,Sir,N,1618773897,5
Lambert,Bertha,Miss,N,1370785370,5
Garrett,Jovita,Mrs.,Y,428321248,5
Howard,Samuel,Sir,N,42794045,5
Pearson,Sergio,Dr.,N,291831742,5
Anthony,James,Mr.,N,342215065,5
Chase,Gordon,Dr.,Y,1510773882,5
Morse,George,Sir,Y,1078474944,5
Mcqueen,Stephanie,Miss,Y,1870466148,5
Bray,Latonya,Mrs.,Y,1526335674,5
Lewis,Walter,Sir,N,1929883377,5
Campbell,Eloise,Dr.,Y,1284972792,5
Moseley,Joanne,Dr.,Y,871948529,5
Howard,Kenneth,Mr.,N,720063161,5
Powell,Donna,Dr.,Y,2071868254,5
Anderson,Joseph,Dr.,Y,2094493587,5
Page,Lela,,,1935407147,5
Lane,Ernest,Mr.,N,494381094,5
Burton,Sean,Sir,N,1506064927,5
West,Erasmo,Mr.,N,539680671,5
Marshall,Edward,Mr.,Y,1935510928,5
Austin,Justin,Mr.,N,175756313,5
Jennings,Jarrett,Mr.,Y,1929080917,5
Green,William,Sir,N,913608916,5
Smith,Joseph,Mr.,Y,708852870,5
Williams,Debra,Mrs.,N,1054992053,5
Hendrix,Dianna,Dr.,N,933064141,5
Norris,Beverly,Miss,Y,1719481684,5
Bowen,Ralph,Mr.,N,554658964,5
Grant,Ciera,Mrs.,Y,1499143623,5
Robertson,Michael,Mr.,Y,1374473000,5
Chacon,Kyle,Sir,N,755912047,5
Jones,Elizabeth,Miss,Y,1699021768,5
Davis,Fidel,Mr.,Y,320313992,5
Cooley,Gloria,Mrs.,Y,1283416576,5
Baldwin,Richard,Mr.,N,2046046946,5
Jones,Donald,Mr.,Y,1624274278,5
Parrish,James,Mr.,N,2021569337,5
Joseph,Sarah,Mrs.,Y,2130301548,5
Stone,Pamela,Miss,Y,1208680261,5
Asher,Will,Dr.,N,1916649268,5
Collins,Linda,Dr.,N,1027681657,5
Mcmillian,Edna,Miss,N,1478846526,5
Coleman,Pamela,Miss,Y,854629839,5
Mendez,Pamela,Mrs.,N,368802152,5
Mattison,Raymond,Sir,N,653901352,5
Mccann,Christina,Miss,N,747691505,5
Cote,Nancy,Ms.,Y,1949014241,5
Rodriguez,,Ms.,,1871940072,5
Bennett,Justin,Sir,Y,1613361059,5
Fleming,Carl,Mr.,N,1034796186,5
Bolin,Donna,Mrs.,Y,1698769817,5
Pointer,Cynthia,Miss,N,402917288,5
Gross,Jordan,Dr.,Y,1571562582,5
Garcia,John,Dr.,Y,12564208,5
Lucas,Beverly,Mrs.,Y,518180657,5
Spooner,Sara,Ms.,Y,1835192546,5
Puckett,Michael,Dr.,Y,331953302,5
Carnahan,Loren,Mr.,N,924943766,5
Jones,Jimmie,Dr.,Y,1702275232,5
Mcclung,Elizabeth,Ms.,N,287252620,5
Ellison,Ted,Mr.,N,1761716966,5
Mcgowan,Edith,Ms.,Y,507104658,5
Kerr,Jessie,Dr.,Y,639936606,5
Calvert,Cindy,Ms.,Y,614530822,5
Peacock,Sara,Dr.,N,826243489,5
Ryan,Donna,Mrs.,N,1781963439,5
Archuleta,Jason,Mr.,N,1416231546,5
Stewart,John,Sir,N,424003826,5
Myers,Charles,Dr.,Y,1571115414,5
Forbes,Edward,Dr.,N,1532997081,5
Kim,Calvin,Dr.,Y,858970802,5
Hunt,Florencia,Miss,N,437949207,5
Ward,Pauline,Ms.,N,830366504,5
Lucero,Jacob,Dr.,N,1098893681,5
Ransom,Alicia,Ms.,N,196061421,5
,James,Mr.,,767811638,5
White,James,Sir,Y,79110695,5
Montgomery,Margaret,Miss,Y,22113136,5
Love,,,,864852048,5
Cooper,Ann,Miss,Y,940319274,5
,Tona,Miss,Y,897912496,5
