0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 
0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> c_last_name,c_first_name,sub,ss_ticket_number,amt,profit
,,,1775823363,1054.5299987792969,-27701.74964904785
,,,229235442,8141.469970703125,-27544.61981201172
,,,1475164099,3558.300048828125,-27171.86985898018
,,,811997243,4594.040019989014,-26876.9201335907
,,,1909003362,18093.81005859375,-26842.29997253418
,,,1696912805,5362.669815063477,-26633.859952926636
,,,595020133,330.8800048828125,-26435.639930725098
,,,1530483955,3382.7699279785156,-26030.940258026123
,,,2085394401,2341.1899909973145,-25857.90011882782
,,,980431865,2027.7199783325195,-25646.529858589172
,,,1291400061,6150.909942626953,-25305.340362548828
,,,2018725882,11.930000305175781,-25272.060180664062
,,,622582584,3528.75,-25162.580153942108
,,,1955172417,1759.9399719238281,-25126.419631958008
,,,1663439623,4122.020034790039,-25089.689393997192
,,,1214341294,2027.5299530029297,-24841.169982910156
,,,535285931,3200.830094099045,-24836.799566745758
,,,2112287329,2171.7099986076355,-24787.05015850067
,,,929590978,3809.260055541992,-24682.119667053223
,,,1562175413,5024.399932861328,-24605.769744873047
,,,1135720068,831.0700225830078,-24493.74030303955
,,,1131288729,16347.220069885254,-24472.56009864807
,,,468662637,6039.230087280273,-24412.11004638672
,,,312585437,8580.089797973633,-24334.560256958008
,,,1316395029,8538.840072631836,-24321.129955291748
,,,853064605,4306.89990234375,-24293.339374542236
,,,386940085,424.29998779296875,-24226.48046016693
,,,617119642,2047.5199584960938,-24163.100170135498
,,,177868492,3662.0999145507812,-24150.489738464355
,,,865288285,2162.530029296875,-24121.77978515625
,,,1228558090,8786.57015991211,-24101.59017944336
0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 
